identity;dept;clage90;valuedate;valuePDivT;speedPDivT;accelerationPDivT
WPCR-255750;91;0;2020-09-25T00:00;0,094877954711;-0,004231996409;0,001499824254
WPCR-255761;91;0;2020-09-26T00:00;0,084867095613;-0,010010859098;-0,005778862689
WPCR-255772;91;0;2020-09-27T00:00;0,075046799734;-0,009820295879;0,000190563219
WPCR-255783;91;0;2020-09-28T00:00;0,082915511154;0,00786871142;0,017689007299
WPCR-255794;91;0;2020-09-29T00:00;0,091139896512;0,008224385358;0,000355673938
WPCR-255805;91;0;2020-09-30T00:00;0,101327003927;0,010187107414;0,001962722056
WPCR-255816;91;0;2020-10-01T00:00;0,102383406016;0,001056402089;-0,009130705325
WPCR-255827;91;0;2020-10-02T00:00;0,108161548967;0,005778142951;0,004721740861
WPCR-255838;91;0;2020-10-03T00:00;0,1074754894;-0,000686059567;-0,006464202517
WPCR-255849;91;0;2020-10-04T00:00;0,088382652639;-0,019092836761;-0,018406777195
WPCR-255860;91;0;2020-10-05T00:00;0,093035469882;0,004652817244;0,023745654005
WPCR-255871;91;0;2020-10-06T00:00;0,111405490759;0,018370020877;0,013717203633
WPCR-255882;91;0;2020-10-07T00:00;0,144974441524;0,033568950765;0,015198929888
WPCR-255893;91;0;2020-10-08T00:00;0,152098835921;0,007124394398;-0,026444556367
WPCR-255904;91;0;2020-10-09T00:00;0,147842913584;-0,004255922338;-0,011380316735
WPCR-255915;91;0;2020-10-10T00:00;0,143004881097;-0,004838032486;-0,000582110149
WPCR-255926;91;0;2020-10-11T00:00;0,120193431811;-0,022811449286;-0,0179734168
WPCR-255937;91;0;2020-10-12T00:00;0,123055358501;0,00286192669;0,025673375977
WPCR-255948;91;0;2020-10-13T00:00;0,121725672267;-0,001329686234;-0,004191612924
WPCR-255959;91;0;2020-10-14T00:00;0,138522911929;0,016797239662;0,018126925896
WPCR-255970;91;0;2020-10-15T00:00;0,141864777063;0,003341865134;-0,013455374528
WPCR-255981;91;0;2020-10-16T00:00;0,14058760021;-0,001277176853;-0,004619041987
WPCR-255992;91;0;2020-10-17T00:00;0,144103076649;0,003515476439;0,004792653291
WPCR-256003;91;0;2020-10-18T00:00;0,139662240889;-0,00444083576;-0,007956312199
WPCR-256014;91;0;2020-10-19T00:00;0,14886002774;0,009197786852;0,013638622612
WPCR-256025;91;0;2020-10-20T00:00;0,156561260751;0,00770123301;-0,001496553841
WPCR-256036;91;0;2020-10-21T00:00;0,171296051182;0,014734790431;0,007033557421
WPCR-256047;91;0;2020-10-22T00:00;0,179673909786;0,008377858604;-0,006356931827
WPCR-256058;91;0;2020-10-23T00:00;0,183862839371;0,004188929585;-0,004188929019
WPCR-256069;91;0;2020-10-24T00:00;0,189981472684;0,006118633313;0,001929703728
WPCR-256080;91;0;2020-10-25T00:00;0,187000776064;-0,00298069662;-0,009099329934
WPCR-256091;91;0;2020-10-26T00:00;0,19126945003;0,004268673966;0,007249370587
WPCR-256102;91;0;2020-10-27T00:00;0,188231883759;-0,003037566271;-0,007306240238
WPCR-256113;91;0;2020-10-28T00:00;0,189608623698;0,001376739939;0,00441430621
WPCR-256124;91;0;2020-10-29T00:00;0,182959530663;-0,006649093035;-0,008025832974
WPCR-256135;91;0;2020-10-30T00:00;0,171465711387;-0,011493819276;-0,004844726242
