TEMPORAL;AMPLITUDE;AMPLITUDE_REAL;AMPLITUDE_IMAGINARY
60;0,0037836764525561286;0,0037836764525561286;-0,00000000000000000133
61;0,005039217072999931;-0,005039217072999931;0,00000000000000001084
62;0,0004104102828370298;-0,0004104102828370298;-0,00000000000000000272
63;0,0012411541976071346;0,0012411541976071346;0,00000000000000000777
64;0,0027135172626801644;0,0027135172626801644;0
65;0,00016039834718841188;0,00016039834718841188;0,0000000000000000025
66;0,00022859329405043203;0,00022859329405043203;-0,00000000000000000322
67;0,001508977406361695;-0,001508977406361695;0,00000000000000000266
68;0,00001037861088138011;-0,00001037861088138011;-0,00000000000000000423
69;0,00027810437185113706;-0,00027810437185113706;0,00000000000000000027
70;0,006314509751146231;0,006314509751146231;-0,00000000000000000206
71;0,0037964365129420042;-0,0037964365129420042;-0,00000000000000000179
72;0,00008968933759792054;0,00008968933759792054;-0,00000000000000000271
73;0,0022891370209809723;-0,0022891370209809723;0,00000000000000000141
74;0,00044283266417469635;0,00044283266417469635;-0,00000000000000000339
75;0,0012115414354616403;0,0012115414354616403;-0,00000000000000000005
76;0,0055343924098383845;-0,0055343924098383845;-0,00000000000000000415
77;0,004365728718240643;0,004365728718240643;-0,0000000000000000034
78;0,003055049201988932;-0,003055049201988932;0,00000000000000000087
79;0,00006696551186394098;0,00006696551186394098;-0,00000000000000000873
80;0,003975902958717532;0,003975902958717532;-0,00000000000000000369
81;0,0021897364911394536;-0,0021897364911394536;-0,00000000000000000173
82;0,004657114370097465;0,004657114370097465;0,00000000000000000173
83;0,004756390893710737;-0,004756390893710737;0
84;0,006839125382182587;0,006839125382182587;0,00000000000000000173
85;0,0037053021225897237;-0,0037053021225897237;0,00000000000000000358
86;0,0001854533421810215;0,0001854533421810215;0,00000000000000000098
87;0,0055985316608815235;-0,0055985316608815235;0,00000000000000000423
88;0,004317105057784592;0,004317105057784592;-0,00000000000000000802
89;0,0014240586312880598;0,0014240586312880598;0,00000000000000000379
90;0,0033670824651520145;0,0033670824651520145;-0,00000000000000000499
91;0,0005847378689507556;0,0005847378689507556;0,00000000000000000781
92;0,00008632824033581623;-0,00008632824033581623;-0,00000000000000000759
93;0,004071109861926464;-0,004071109861926464;0,00000000000000000564
94;0,000929359667523642;0,000929359667523642;-0,00000000000000000596
95;0,002197853842135138;-0,002197853842135138;0,00000000000000000867
96;0,004136941059231011;0,004136941059231011;-0,00000000000000000585
97;0,0003446614818987204;0,0003446614818987204;0,00000000000000000043
98;0,005018059479811702;0,005018059479811702;-0,00000000000000000726
99;0,0047707051941014295;-0,0047707051941014295;0,00000000000000000157
